Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
days2_baby_hemang_hosp,baby_hospital_hemangioma,,text,days2_baby_hemang_hosp,,,,,,,,,,,,,
baby_hemang_hosp_icd,baby_hospital_hemangioma,,text,baby_hemang_hosp_icd,,,,,,,,,,,,,
baby_sebaceous_hosp_date,baby_hospital_sebaceous,,text,baby_sebaceous_hosp_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_sebac_hosp,baby_hospital_sebaceous,,text,days2_baby_sebac_hosp,,,,,,,,,,,,,
baby_sebaceous_hosp_icd,baby_hospital_sebaceous,,text,baby_sebaceous_hosp_icd,,,,,,,,,,,,,
baby_obesity_hosp_date,baby_hospital_obesity,,text,baby_obesity_hosp_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
days2_baby_obesity_hosp,baby_hospital_obesity,,text,days2_baby_obesity_hosp,,,,,,,,,,,,,
baby_obesity_hosp_icd,baby_hospital_obesity,,text,baby_obesity_hosp_icd,,,,,,,,,,,,,
baby_erythema_hosp_date,baby_hospital_erythema,,text,baby_erythema_hosp_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
baby_erythema_hosp_icd,baby_hospital_erythema,,text,baby_erythema_hosp_icd,,,,,,,,,,,,,
days2_baby_eryth_hosp,baby_hospital_erythema,,text,days2_baby_eryth_hosp,,,,,,,,,,,,,
mom_race,mom_demography,,text,mom_race,,,,,,,,,,,,,
mom_ethnicity,mom_demography,,text,mom_ethnicity,,,,,,,,,,,,,
mom_prenat_apt_date,mom_prenatal_apt,,text,mom_prenat_apt_date,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
mom_prenat_wt_oz,mom_prenatal_apt,,text,mom_prenat_wt_oz,,,,,,,,,,,,,
mom_prenat_enc_type,mom_prenatal_apt,,text,mom_prenat_enc_type,,,,,,,,,,,,,
mom_prenat_ht_inch,mom_prenatal_apt,,text,mom_prenat_ht_inch,,,,,,,,,,,,,
mom_prenat_ht,mom_prenatal_apt,,text,mom_prenat_ht,,,,,,,,,,,,,
mom_prenat_wt_lb,mom_prenatal_apt,,text,mom_prenat_wt_lb,,,,,,,,,,,,,
mom_prenat_abxip_action,mom_antibiotics_ip,,text,mom_prenat_abxip_action,,,,,,,,,,,,,
mom_prenat_abxip,mom_antibiotics_ip,,text,mom_prenat_abxip,,,,,,,,,,,,,
mom_prenat_abxip_date,mom_antibiotics_ip,,text,mom_prenat_abxip_date,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
mom_prenat_abxrx,mom_antibiotics_rx,,text,mom_prenat_abxrx,,,,,,,,,,,,,
mom_prenat_abxrx_date,mom_antibiotics_rx,,text,mom_prenat_abxrx_date,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
mom_prenat_med_rx,mom_medications_rx,,text,mom_prenat_med_rx,,,,,,,,,,,,,
mom_prenat_med_rx_date,mom_medications_rx,,text,mom_prenat_med_rx_date,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
mom_id,linked_mom_demography,,text,mom_id2,,,,,,,,,,,,,
mom_race_link,linked_mom_demography,,text,mom_race_link,,,,,,,,,,,,,
mom_ethnicity_link,linked_mom_demography,,text,mom_ethnicity_link,,,,,,,,,,,,,
mom_id3,linked_mom_prenatal_apt,,text,mom_id3,,,,,,,,,,,,,
mom_prenat_apt_date_link,linked_mom_prenatal_apt,,text,mom_prenat_apt_date_link,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
mom_prenat_ht_link,linked_mom_prenatal_apt,,text,mom_prenat_ht_link,,,,,,,,,,,,,
mom_prenat_wt_oz_link,linked_mom_prenatal_apt,,text,mom_prenat_wt_oz_link,,,,,,,,,,,,,
mom_prenat_enc_type_link,linked_mom_prenatal_apt,,text,mom_prenat_enc_type_link,,,,,,,,,,,,,
days2_prenatal_apt_link,linked_mom_prenatal_apt,,text,days2_prenatal_apt_link,,,,,,,,,,,,,
mom_prenat_ht_inch_link,linked_mom_prenatal_apt,,text,mom_prenat_ht_inch_link,,,,,,,,,,,,,
mom_prenat_wt_lb_link,linked_mom_prenatal_apt,,text,mom_prenat_wt_lb_link,,,,,,,,,,,,,
mom_id4,linked_mom_antibiotics_ip,,text,mom_id4,,,,,,,,,,,,,
mom_prenat_abxip_date_link,linked_mom_antibiotics_ip,,text,mom_prenat_abxip_date_link,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
mom_prenat_abxip_action_link,linked_mom_antibiotics_ip,,text,mom_prenat_abxip_action_link,,,,,,,,,,,,,
mom_prenat_abxip_link,linked_mom_antibiotics_ip,,text,mom_prenat_abxip_link,,,,,,,,,,,,,
days2_prenatal_abxip_link,linked_mom_antibiotics_ip,,text,days2_prenatal_abxip_link,,,,,,,,,,,,,
mom_id5,linked_mom_prenatal_abx_rx,,text,mom_id5,,,,,,,,,,,,,
mom_prenat_abxrx_link,linked_mom_prenatal_abx_rx,,text,mom_prenat_abxrx_link,,,,,,,,,,,,,
mom_prenat_abxrx_date_link,linked_mom_prenatal_abx_rx,,text,mom_prenat_abxrx_date_link,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
days2_prenatal_abxrx_link,linked_mom_prenatal_abx_rx,,text,days2_prenatal_abxrx_link,,,,,,,,,,,,,
mom_id6,linked_mom_prental_meds_rx,,text,mom_id6,,,,,,,,,,,,,
mom_prenat_med_rx_link,linked_mom_prental_meds_rx,,text,mom_prenat_med_rx_link,,,,,,,,,,,,,
mom_med_rx_date_link,linked_mom_prental_meds_rx,,text,mom_med_rx_date_link,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
days2_prenat_med_rx_link,linked_mom_prental_meds_rx,,text,days2_prenat_med_rx_link,,,,,,,,,,,,,
ehr_labs,labs,,text,Lab Name,,,,,,,,,,,,,
ehr_lab_result,labs,,text,Lab Result,,,,,,,,,,,,,
ehr_lab_unit,labs,,text,Lab Unit,,,,,,,,,,,,,
ehr_lab_result_no,labs,,text,Lab Result No,,,,,,,,,,,,,
ehr_lab_date,labs,,text,Inferrred Specimen Datetime,,,,,,,,,,,,,
