Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
wellvisit_date,anthropometrics,,text,prenatal_bmi encounter date,,,,,,,,,,,,,
wellvisit_wt_lbs,anthropometrics,,text,wellvisit_wt_lbs,,,,,,,,,,,,,
wellvisit_wt_units,anthropometrics,,text,wellvisit_wt_units,,,,,,,,,,,,,
wellvisit_wt_measure,anthropometrics,,text,wellvisit_wt_measure,,,,,,,,,,,,,
wellvisit_ht_cm,anthropometrics,,text,wellvisit_ht_cm,,,,,,,,,,,,,
wellvisit_ht_units,anthropometrics,,text,wellvisit_ht_units,,,,,,,,,,,,,
wellvisit_ht_measure,anthropometrics,,text,wellvisit_ht_measure,,,,,,,,,,,,,
wellvisit_headcir_cm,anthropometrics,,text,wellvisit_headcir_cm,,,,,,,,,,,,,
wellvisit_headcir_units,anthropometrics,,text,wellvisit_headcir_units,,,,,,,,,,,,,
wellvisit_headcir_measure,anthropometrics,,text,wellvisit_headcir_measure,,,,,,,,,,,,,
first_headcirc_date,anthropometrics,,text,first_headcirc_date,,,,,,,,,,,,,
first_headcirc_cm,anthropometrics,,text,first_headcirc_cm,,,,,,,,,,,,,
first_headcirc_units,anthropometrics,,text,first_headcirc_units,,,,,,,,,,,,,
first_headcirc_measure,anthropometrics,,text,first_headcirc_measure,,,,,,,,,,,,,
first_height_date,anthropometrics,,text,first_height_date,,,,,,,,,,,,,
first_height_cm,anthropometrics,,text,first_height_cm,,,,,,,,,,,,,
first_height_units,anthropometrics,,text,first_height_units,,,,,,,,,,,,,
first_height_measure,anthropometrics,,text,first_height_measure,,,,,,,,,,,,,
prenatal_encounter_type,anthropometrics,,text,prenatal_encounter_type,,,,,,,,,,,,,
prenatal_encounter_date,anthropometrics,,text,prenatal_encounter_date,,,,,,,,,,,,,
prenatal_wt_lbs,anthropometrics,,text,prenatal_wt_lbs,,,,,,,,,,,,,
prenatal_ht_in,anthropometrics,,text,prenatal_ht_in,,,,,,,,,,,,,
prenatal_wt_units,anthropometrics,,text,prenatal_wt_units,,,,,,,,,,,,,
prenatal_wt_measure,anthropometrics,,text,prenatal_wt_measure,,,,,,,,,,,,,
prenatal_ht_units,anthropometrics,,text,prenatal_ht_units,,,,,,,,,,,,,
prenatal_ht_measure,anthropometrics,,text,prenatal_ht_measure,,,,,,,,,,,,,
prenatal_bp_encounter_type,anthropometrics,,text,prenatal_bp_encounter_type,,,,,,,,,,,,,
prenatal_bp,anthropometrics,,text,prenatal_bp,,,,,,,,,,,,,
prenatal_bp_date,anthropometrics,,text,prenatal_bp_date,,,,,,,,,,,,,
prenatal_bp_measure,anthropometrics,,text,prenatal_bp_measure,,,,,,,,,,,,,
prenatal_bp_units,anthropometrics,,text,prenatal_bp_units,,,,,,,,,,,,,
skin_dx_date,diagnosis_codes,,text,skin_dx_date,,,,,,,,,,,,,
skin_dx_code,diagnosis_codes,,text,skin_dx_code,,,,,,,,,,,,,
skin_dx_descrip,diagnosis_codes,,text,skin_dx_descrip,,,,,,,,,,,,,
skin_dx_type,diagnosis_codes,,text,skin_dx_type,,,,,,,,,,,,,
skin_dx_code_type,diagnosis_codes,,text,skin_dx_code_type,,,,,,,,,,,,,
asthma_dx_date,diagnosis_codes,,text,asthma_dx_date,,,,,,,,,,,,,
asthma_dx_code,diagnosis_codes,,text,asthma_dx_code,,,,,,,,,,,,,
asthma_dx_descrip,diagnosis_codes,,text,asthma_dx_descrip,,,,,,,,,,,,,
asthma_dx_type,diagnosis_codes,,text,asthma_dx_type,,,,,,,,,,,,,
asthma_dx_code_type,diagnosis_codes,,text,asthma_dx_code_type,,,,,,,,,,,,,
ear_infection_dx_date,diagnosis_codes,,text,ear_infection_dx_date,,,,,,,,,,,,,
ear_infection_dx_code,diagnosis_codes,,text,ear_infection_dx_code,,,,,,,,,,,,,
ear_infection_dx_descrip,diagnosis_codes,,text,ear_infection_dx_descrip,,,,,,,,,,,,,
ear_infection_dx_type,diagnosis_codes,,text,ear_infection_dx_type,,,,,,,,,,,,,
ear_infection_dx_code_type,diagnosis_codes,,text,ear_infection_dx_code_type,,,,,,,,,,,,,
foodallergy_dx_date,diagnosis_codes,,text,foodallergy_dx_date,,,,,,,,,,,,,
foodallergy_dx_code,diagnosis_codes,,text,foodallergy_dx_code,,,,,,,,,,,,,
foodallergy_dx_descrip,diagnosis_codes,,text,foodallergy_dx_descrip,,,,,,,,,,,,,
foodallergy_dx_type,diagnosis_codes,,text,foodallergy_dx_type,,,,,,,,,,,,,
foodallergy_dx_code_type,diagnosis_codes,,text,foodallergy_dx_code_type,,,,,,,,,,,,,
obesity_dx_date,diagnosis_codes,,text,obesity_dx_date,,,,,,,,,,,,,
obesity_dx_code,diagnosis_codes,,text,obesity_dx_code,,,,,,,,,,,,,
obesity_dx_descrip,diagnosis_codes,,text,obesity_dx_descrip,,,,,,,,,,,,,
obesity_dx_type,diagnosis_codes,,text,obesity_dx_type,,,,,,,,,,,,,
obesity_dx_code_type,diagnosis_codes,,text,obesity_dx_code_type,,,,,,,,,,,,,
ehr_lab,labs,,text,Laboratory Name,,,,,,,,,,,,,
ehr_lab_result,labs,,text,Lab Result,,,,,,,,,,,,,
ehr_lab_unit,labs,,text,Lab Unit,,,,,,,,,,,,,
ehr_lab_result_no,labs,,text,Lab Result No,,,,,,,,,,,,,
ehr_lab_date_time,labs,,text,Inferrred Specimen Datetime,,,,,,,,,,,,,
vaccine_date,vaccines,,text,vaccine_date,,MM-DD-YYYY,date_mdy,,,y,,,,,,,
vaccine_name,vaccines,,text,vaccine_name,,,,,,,,,,,,,
abx_ip_type,antibiotics,,text,abx_ip_type,,,,,,,,,,,,,
abx_ip_status,antibiotics,,text,abx_ip_status,,,,,,,,,,,,,
abx_ip_therapy_class,antibiotics,,text,abx_ip_therapy_class,,,,,,,,,,,,,
abx_ip_pharm_class,antibiotics,,text,abx_ip_pharm_class,,,,,,,,,,,,,
abx_ip_pharm_subclass,antibiotics,,text,abx_ip_pharm_subclass,,,,,,,,,,,,,
abx_ip_rxnorm_code,antibiotics,,text,abx_ip_rxnorm_code,,,,,,,,,,,,,
abx_ip_name,antibiotics,,text,abx_ip_name,,,,,,,,,,,,,
abx_ip_date,antibiotics,,text,abx_ip_date,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
abx_op_type,antibiotics,,text,abx_op_type,,,,,,,,,,,,,
abx_op_status,antibiotics,,text,abx_op_status,,,,,,,,,,,,,
abx_op_therapy_class,antibiotics,,text,abx_op_therapy_class,,,,,,,,,,,,,
abx_op_pharm_class,antibiotics,,text,abx_op_pharm_class,,,,,,,,,,,,,
abx_op_pharm_subclass,antibiotics,,text,abx_op_pharm_subclass,,,,,,,,,,,,,
abx_op_rxnorm_code,antibiotics,,text,abx_op_rxnorm_code,,,,,,,,,,,,,
abx_op_name,antibiotics,,text,abx_op_name,,,,,,,,,,,,,
abx_op_date,antibiotics,,text,abx_op_date,,MM-DD-YYYY H:M,datetime_mdy,,,y,,,,,,,
med_ip_name,medications,,text,med_ip_name,,,,,,,,,,,,,
med_ip_type,medications,,text,med_ip_type,,,,,,,,,,,,,
med_ip_status,medications,,text,med_ip_status,,,,,,,,,,,,,
med_ip_date,medications,,text,med_ip_date,,,,,,,,,,,,,
med_ip_therapy_class,medications,,text,med_ip_therapy_class,,,,,,,,,,,,,
med_ip_pharm_class,medications,,text,med_ip_pharm_class,,,,,,,,,,,,,
med_ip_pharm_subclass,medications,,text,med_ip_pharm_subclass,,,,,,,,,,,,,
med_ip_rxnorm_code,medications,,text,med_ip_rxnorm_code,,,,,,,,,,,,,
med_op_type,medications,,text,med_op_type,,,,,,,,,,,,,
med_op_date,medications,,text,med_op_date,,,,,,,,,,,,,
med_op_name,medications,,text,med_op_name,,,,,,,,,,,,,
med_op_therapy_class,medications,,text,med_op_therapy_class,,,,,,,,,,,,,
med_op_pharm_class,medications,,text,med_op_pharm_class,,,,,,,,,,,,,
med_op_pharm_subclass,medications,,text,med_op_pharm_subclass,,,,,,,,,,,,,
med_op_rxnorm_code,medications,,text,med_op_rxnorm_code,,,,,,,,,,,,,
med_op_status,medications,,text,med_op_status,,,,,,,,,,,,,
